"employees","Salaries2017","salaryAdjustment","Salaries2018","GotARaise"
"Employee 1",40368.3185763657,-4428.3380988054,35939.9804775603,FALSE
"Employee 2",41785.6369027868,-2028.85822625831,39756.7786765285,FALSE
"Employee 3",48675.9765655734,-3905.38452658802,44770.5920389853,FALSE
"Employee 4",45441.6908277199,-3233.88308752328,42207.8077401966,FALSE
"Employee 5",41811.8839873932,3523.35045579821,45335.2344431914,TRUE
"Employee 6",42809.9732054397,-3770.28021495789,39039.6929904819,FALSE
"Employee 7",40653.0534825288,-2557.24386777729,38095.8096147515,FALSE
"Employee 8",45760.1580908522,1419.88672548905,47180.0448163413,TRUE
"Employee 9",46299.6041635051,-3063.77219501883,43235.8319684863,FALSE
"Employee 10",40854.8197615892,893.257146235555,41748.0769078247,TRUE
"Employee 11",40994.4660263136,22.3560351878405,41016.8220615014,TRUE
"Employee 12",43939.8339926265,3112.6544252038,47052.4884178303,TRUE
"Employee 13",42650.5384244956,-1632.68662290648,41017.8518015891,FALSE
"Employee 14",47060.6383518316,3177.01026797295,50237.6486198045,TRUE
"Employee 15",42741.7075727135,-408.655230421573,42333.0523422919,FALSE
"Employee 16",40448.4598035924,-3821.90668722615,36626.5531163663,FALSE
"Employee 17",47509.0961856768,3349.45135051385,50858.5475361906,TRUE
"Employee 18",46593.989029061,601.56850842759,47195.5575374886,TRUE
"Employee 19",43353.1954907812,4457.06428028643,47810.2597710676,TRUE
"Employee 20",43340.8212242648,4876.81031459942,48217.6315388642,TRUE
"Employee 21",47693.4026158415,2991.2344366312,50684.6370524727,TRUE
"Employee 22",47800.8953575045,-4856.49190377444,42944.40345373,FALSE
"Employee 23",44337.9124370404,-2256.77512818947,42081.1373088509,FALSE
"Employee 24",45816.2327157333,-1812.56039999425,44003.6723157391,FALSE
"Employee 25",44808.4877361543,-4769.23997979611,40039.2477563582,FALSE
"Employee 26",49470.319179818,-4329.58988938481,45140.7292904332,FALSE
"Employee 27",47615.0563592091,-3815.62241353095,43799.4339456782,FALSE
"Employee 28",40369.1117791459,-374.214684125036,39994.8970950209,FALSE
"Employee 29",42190.6950883567,1052.23705992103,43242.9321482778,TRUE
"Employee 30",47498.7817392685,-714.710636530071,46784.0711027384,FALSE
"Employee 31",49555.049429182,3149.082174059,52704.131603241,TRUE
"Employee 32",48123.7466214225,-158.710558898747,47965.0360625237,FALSE
"Employee 33",45124.84109262,302.109844051301,45426.9509366713,TRUE
"Employee 34",45925.2199786715,3929.47861924767,49854.6985979192,TRUE
"Employee 35",42126.9593271427,-2428.53298317641,39698.4263439663,FALSE
"Employee 36",46132.9290340655,3326.42178051174,49459.3508145772,TRUE
"Employee 37",49282.6082487591,3904.87026423216,53187.4785129912,TRUE
"Employee 38",40272.508377675,-561.63982488215,39710.8685527928,FALSE
"Employee 39",40106.1356044374,-3481.83201160282,36624.3035928346,FALSE
"Employee 40",48444.6016908623,-2672.78354614973,45771.8181447126,FALSE
"Employee 41",44878.0350130983,4955.55584086105,49833.5908539593,TRUE
